boro,on,from,to,entire_length,comment
1,?The area bounded by 66th,30th Streets,river,river,
1,?The area bounded by 29th,24th Streets,3rd Avenue,8th Avenue, all inclusive,
1,?The area bounded by Canal and Houston Streets,Centre/Lafayette Street,Essex Street,
1,?The area bounded by East/West 8th Street,Canal Street,Lafayette Street,6th Avenue, all inclusive,
1,?The area bounded by Worth/Catherine/Harrison Street,Battery Park,river,river, all inclusive,
1,1st Avenue,East Houston Street,66th Street,
1,2nd Avenue,East Houston Street,66th Street,
1,3rd Avenue,6th Street,66th Street,
1,4th Avenue,,,1,
1,5th Avenue,Washington Square North,66th Street,
1,Avenue of the Americas,,,1,
1,7th Avenue South/7th Avenue,West Houston Street,Central Park South,
1,8th Avenue,Hudson Street,59th Street/Columbus Circle,
1,8th Street,,,1,
1,9th Avenue,Little West 12th Street,59th Street,
1,10th Avenue,Little West 12th Street,59th Street,
1,10th Avenue,West 204th Street,West 212th Street,
1,11th Avenue,Little West 12th Street,59th Street,
1,14th Street,,,1,
1,17th Street,Broadway/Union Square West,Park Avenue/Union Square East,
1,23rd Street,,,1,
1,72nd Street,,,1,Includes Central Park Transverse Roadway)
1,79th Street,,,1,Includes Central Park Transverse Roadway)
1,86th Street,,,1,Includes Central Park Transverse Roadway)
1,96th Street,,,1,
1,97th Street Central Park Transverse Roadway,,,1,
1,116th Street,FDR Drive,1st Avenue,
1,117th Street,FDR Drive,1st Avenue,
1,118th Street,FDR Drive,1st Avenue,
1,119th Street,FDR Drive,1st Avenue,
1,125th Street,,,1,
1,178th Street,Fort Washington Avenue,Amsterdam Avenue,
1,179th Street,Fort Washington Avenue,Amsterdam Avenue,
1,181st Street,Amsterdam Avenue,Cabrini Boulevard,
1,207th Street,Exterior Street/207th Street Bridge,Broadway,
1,225th Street,Broadway,Bronx Border,
1,Allen Street,Canal Street,East Houston Street,
1,Amsterdam Avenue,59th Street,72nd Street,
1,Astor Place,,,1,
1,Avenue C,East 14th Street,East 25th Street,
1,Bleecker Street,8th Avenue,Bowery,
1,Bond Street,,,1,
1,Bowery,,,1,
1,Broadway,,,1,
1,Broome Street,,,1,
1,Canal Street,,,1,
1,Central Park West,Columbus Circle,West 66th Street,
1,Centre Street,Chambers Street,Kenmare Street,
1,Christopher Street,,,1,
1,Church Street,,,1,
1,Cleveland Place,,,1,
1,Columbus Avenue,59th Street,72nd Street,
1,Cooper Square,,,1,
1,Delancey Street,,,1,
1,Dyckman Street,Broadway,10th Avenue,
1,East Broadway,Bowery/Chatham Square,Grand Street,
1,Gansevoort Street,Hudson Street,West Street,
1,Grand Street,,,1,
1,Greenwich Avenue,,,1,
1,Houston Street,,,1,
1,Hudson Street,Chambers Street,14th Street,
1,Joe DiMaggio Highway/West Street (9A)/11th Avenue/12th Avenue,Battery Park,West 57th Street,
1,Kenmare Street,,,1,
1,Lafayette Street,,,1,
1,Lexington Avenue,East 21st Street,East 86th Street,
1,Madison Avenue,23rd Street,86th Street,
1,North Moore Street,West Street,Hudson Street,
1,Park Avenue South/Park Avenue,East 17th Street,East 66th Street,
1,Pleasant Avenue,East 116th Street,East 119th Street,
1,South Street,Montgomery Street,Whitehall Street,
1,St. Marks Place,,,1,
1,St. Nicholas Avenue,Broadway,183rd Street,
1,Trinity Place,,,1,
1,Union Square East,,,1,
1,Union Square West,,,1,
1,University Place,East 8th Street,East 14th Street,
1,Varick Street,West Broadway,West Houston Street,
1,Vestry Street,West Street,Hudson Street,
1,Walker Street,West Broadway/Church Street,Canal Street,
1,Washington Street,Little West 12th Street,West 14th Street,
1,West Broadway,Vesey Street,Varick Street,
1,West End Avenue,59th Street,72nd Street,
1,West Street,Battery Place,Little West 12th Street,
1,Worth Street,,,1
2,?Westchester Square Perimeter and the entire Parkchester area bounded by East Tremont Avenue, Castle Hill Road, White Plains Road and Westchester Avenue, all inclusive,
2,3rd Avenue,East 147th Street,East 153rd Street,
2,3rd Avenue,East 184th Street,East Fordham Road,
2,Allerton Avenue,White Plains Road,Boston Road,
2,Arthur Avenue,Fordham Road,184th Street/Crescent Avenue,
2,Bartow Avenue,Coop City Boulevard,Ely Avenue,
2,Broadway,228th Street,Van Cortlandt Park South,
2,Burnside Avenue,University Avenue,Grand Concourse,
2,East 138th Street,Cypress Avenue,Alexander Avenue,
2,East 149th Street,Exterior Street,Brook Avenue,
2,East 167 Street,Jerome Avenue,Grand Concourse,
2,East 170th Street,Grand Concourse,University Avenue,
2,East 187th Street,Crescent Avenue,Bathgate Avenue,
2,East 188th Street,Webster Avenue,Third Avenue,
2,East 189th Street,Webster Avenue,Washington Avenue,
2,East Fordham Road,,,1,
2,East Tremont Avenue,Castle Hill Avenue,Westchester Avenue,
2,East Tremont Avenue,3rd Avenue,Southern Boulevard,
